ackerm.	1	100%	172	100%	17	100%	100%	130	100%	17	100%	100%	134	100%	17	100%
addmul.	2	100%	25	100%	18	100%	100%	25	100%	18	100%	100%	24	100%	18	100%
apprev.	2	100%	637	50%	1100	100%	100%	709	100%	1585	100%	100%	6448	100%	1519	100%
averag.	3	67%	1012	100%	22	100%	100%	4049	100%	22	100%	100%	3575	100%	22	100%
derivD.	1	0%	991	0%	1040	0%	0%	9898	0%	10012	0%	100%	12306	0%	59545	100%
fib	2	100%	239	100%	19	100%	100%	223	100%	18	100%	100%	214	100%	18	100%
for	2	100%	8	100%	12	100%	100%	9	100%	12	100%	100%	9	100%	11	100%
mc_per.	4	100%	445	75%	1201	100%	100%	439	100%	1365	100%	100%	505	100%	1323	100%
member.	1	100%	3	100%	6	100%	100%	3	100%	6	100%	100%	3	100%	6	100%
micgra.	3	67%	1001	100%	19	100%	67%	9836	100%	19	100%	67%	59795	100%	19	100%
split	1	100%	202	100%	10	100%	100%	121	100%	10	100%	100%	182	100%	10	100%
testap.	4	100%	499	75%	1320	100%	100%	468	100%	4669	100%	100%	462	100%	4747	100%
trans	2	50%	1020	50%	1118	50%	50%	9901	100%	3043	100%	50%	59759	100%	3042	100%
transi.	6	100%	175	100%	105	100%	100%	182	100%	107	100%	100%	179	100%	109	100%
nat	4	100%	166	100%	196	100%	100%	168	100%	196	100%	100%	166	100%	191	100%
int	6	100%	691	100%	55	100%	100%	693	100%	55	100%	100%	643	100%	55	100%
list	5	80%	1168	100%	4893	80%	100%	2456	100%	4764	100%	100%	2598	100%	4611	100%
suffix.	4	100%	17	100%	24	100%	100%	17	100%	24	100%	100%	17	100%	22	100%
revers.	4	100%	493	75%	1215	100%	100%	514	100%	2226	100%	100%	538	100%	2283	100%
permut.	7	100%	215	86%	1178	100%	100%	210	100%	4338	100%	100%	213	100%	6625	100%
sort	9	56%	4541	56%	4238	56%	56%	40142	100%	12755	100%	56%	239668	100%	21007	100%
merges.	4	25%	3010	75%	1943	75%	25%	29730	100%	7486	100%	25%	179498	100%	10284	100%
